Date,Price,Open,High,Low,Change %
14-May-14,"1,305.60","1,294.46","1,309.40","1,291.79",0.95%
13-May-14,"1,293.35","1,295.91","1,299.21","1,289.25",-0.19%
12-May-14,"1,295.80","1,289.20","1,304.30","1,280.10",0.50%
9-May-14,"1,289.33","1,289.50","1,294.90","1,285.64",-0.02%
8-May-14,"1,289.60","1,289.74","1,295.30","1,285.74",0.00%
7-May-14,"1,289.55","1,308.01","1,315.31","1,287.00",-1.38%
6-May-14,"1,307.65","1,309.90","1,314.71","1,305.00",-0.17%
5-May-14,"1,309.85","1,300.74","1,315.95","1,299.61",0.73%
2-May-14,"1,300.32","1,284.19","1,304.90","1,277.10",1.26%
1-May-14,"1,284.10","1,291.65","1,293.21","1,277.70",-0.60%
30-Apr-14,"1,291.90","1,296.01","1,298.01","1,285.80",-0.35%
29-Apr-14,"1,296.48","1,296.04","1,301.40","1,286.49",0.03%
28-Apr-14,"1,296.10","1,303.20","1,306.61","1,292.30",-0.56%
25-Apr-14,"1,303.45","1,294.01","1,305.61","1,290.60",0.74%
24-Apr-14,"1,293.85","1,284.01","1,298.51","1,268.85",0.77%
23-Apr-14,"1,283.90","1,283.51","1,289.22","1,281.05",0.03%
22-Apr-14,"1,283.50","1,290.24","1,293.00","1,277.60",-0.52%
21-Apr-14,"1,290.15","1,294.67","1,301.51","1,282.01",-0.28%
18-Apr-14,"1,293.78","1,293.78","1,293.78","1,293.78",-0.08%
17-Apr-14,"1,294.85","1,302.40","1,304.80","1,293.24",-0.61%
16-Apr-14,"1,302.80","1,302.84","1,307.60","1,293.59",0.01%
15-Apr-14,"1,302.65","1,326.81","1,328.51","1,290.95",-1.79%
14-Apr-14,"1,326.40","1,318.94","1,331.20","1,318.84",0.60%
11-Apr-14,"1,318.47","1,317.94","1,324.33","1,314.24",-0.03%
10-Apr-14,"1,318.92","1,311.64","1,324.90","1,310.84",0.54%
9-Apr-14,"1,311.90","1,308.25","1,315.30","1,300.94",0.24%
8-Apr-14,"1,308.72","1,296.29","1,314.93","1,296.29",0.93%
7-Apr-14,"1,296.65","1,302.90","1,304.80","1,295.80",-0.46%
4-Apr-14,"1,302.70","1,286.62","1,307.09","1,284.33",1.20%
